epoch,decoder_accuracy,decoder_loss,domain_classifier_accuracy,domain_classifier_loss,encoder_accuracy,encoder_loss,loss,val_decoder_accuracy,val_decoder_loss,val_domain_classifier_accuracy,val_domain_classifier_loss,val_encoder_accuracy,val_encoder_loss,val_loss
0,0.12867647409439087,1.6736568212509155,0.6079545617103577,0.7205847501754761,0.005681818351149559,0.7687272429466248,1.3877350091934204,0.14399509131908417,0.9794360995292664,0.6875,0.6158452033996582,0.0625,0.51076340675354,0.8703588247299194
1,0.13260361552238464,1.2267780303955078,0.7784090638160706,0.4526027739048004,0.005681818351149559,0.6131243109703064,0.9945254921913147,0.13909313082695007,0.9600346684455872,0.78125,0.5716676712036133,0.03125,0.5119655132293701,0.8435245752334595
2,0.13859179615974426,1.0358610153198242,0.8409090638160706,0.35222098231315613,0.005681818351149559,0.6488463878631592,0.8307690024375916,0.1348039209842682,0.944059431552887,0.75,0.5564584732055664,0.0625,0.5133920907974243,0.8277791142463684
3,0.14346590638160706,0.918377161026001,0.9034090638160706,0.2841133177280426,0.011363636702299118,0.6831555962562561,0.7280980944633484,0.1302083283662796,0.9270836114883423,0.78125,0.5438953638076782,0.0625,0.5153490304946899,0.8121271133422852
4,0.1463346630334854,0.830731213092804,0.9545454382896423,0.22128820419311523,0.011363636702299118,0.715507447719574,0.6478983163833618,0.12622548639774323,0.9076477289199829,0.75,0.5081998109817505,0.03125,0.5179464221000671,0.7878133058547974
5,0.1464739292860031,0.7629436254501343,0.9772727489471436,0.17992103099822998,0.022727273404598236,0.7437232732772827,0.5880368947982788,0.12377450615167618,0.8869433403015137,0.78125,0.4800121784210205,0.0625,0.5208488702774048,0.7648639678955078
6,0.1452484428882599,0.708157479763031,0.9772727489471436,0.14806623756885529,0.022727273404598236,0.7691367864608765,0.5401301383972168,0.12484681606292725,0.8673794269561768,0.78125,0.4635339379310608,0.0625,0.5238207578659058,0.7462257742881775
7,0.1453876942396164,0.6628782749176025,0.9943181872367859,0.11814817786216736,0.022727273404598236,0.788098931312561,0.49945923686027527,0.12668505311012268,0.8503523468971252,0.78125,0.45873039960861206,0.03125,0.5267816781997681,0.7328657507896423
8,0.1463068127632141,0.625336229801178,1.0,0.0962289497256279,0.022727273404598236,0.803208589553833,0.4666040539741516,0.12147671729326248,0.8351618647575378,0.75,0.46136242151260376,0.03125,0.5296189785003662,0.7230220437049866
9,0.14811719954013824,0.5939949154853821,1.0,0.07905074208974838,0.022727273404598236,0.814713716506958,0.43951165676116943,0.1200980395078659,0.822060227394104,0.78125,0.465905100107193,0.03125,0.532539963722229,0.7152136564254761
