epoch,decoder_accuracy,decoder_loss,domain_classifier_accuracy,domain_classifier_loss,encoder_accuracy,encoder_loss,loss,val_decoder_accuracy,val_decoder_loss,val_domain_classifier_accuracy,val_domain_classifier_loss,val_encoder_accuracy,val_encoder_loss,val_loss
0,0.12783677875995636,1.6136492490768433,0.6203703880310059,0.6558616161346436,0.009259259328246117,0.7462271451950073,1.3263130187988281,NA,NA,NA,NA,NA,NA,NA
1,0.1344408094882965,1.1485894918441772,0.7962962985038757,0.4212302565574646,0.009259259328246117,0.6456153988838196,0.930381715297699,NA,NA,NA,NA,NA,NA,NA
2,0.13897967338562012,0.9664173722267151,0.8657407164573669,0.3375811278820038,0.013888888992369175,0.6914600729942322,0.7777665257453918,NA,NA,NA,NA,NA,NA,NA
3,0.14247457683086395,0.847126841545105,0.9120370149612427,0.2589377760887146,0.023148147389292717,0.7314960360527039,0.6706700921058655,NA,NA,NA,NA,NA,NA,NA
4,0.1430419385433197,0.7610753178596497,0.9305555820465088,0.21937499940395355,0.018518518656492233,0.7666962146759033,0.5985651612281799,NA,NA,NA,NA,NA,NA,NA
5,0.14118100702762604,0.6964013576507568,0.9537037014961243,0.17539264261722565,0.023148147389292717,0.7941244840621948,0.5400987863540649,NA,NA,NA,NA,NA,NA,NA
6,0.1409313678741455,0.6457497477531433,0.9722222089767456,0.14142733812332153,0.023148147389292717,0.8141430020332336,0.4944530725479126,NA,NA,NA,NA,NA,NA,NA
7,0.14136256277561188,0.6062145829200745,0.9768518805503845,0.11677223443984985,0.018518518656492233,0.8281596302986145,0.4593818783760071,NA,NA,NA,NA,NA,NA,NA
8,0.1444035917520523,0.5752730369567871,0.9861111044883728,0.09671881794929504,0.018518518656492233,0.8362269997596741,0.4317067861557007,NA,NA,NA,NA,NA,NA,NA
9,0.1465822458267212,0.5490688681602478,0.9907407164573669,0.07985968142747879,0.018518518656492233,0.8413475751876831,0.4083061218261719,NA,NA,NA,NA,NA,NA,NA
10,0.1480119824409485,0.5269840359687805,1.0,0.06701193749904633,0.018518518656492233,0.846933126449585,0.3889923691749573,NA,NA,NA,NA,NA,NA,NA
11,0.14996369183063507,0.5058354735374451,1.0,0.055753178894519806,0.013888888992369175,0.8519546985626221,0.37081077694892883,NA,NA,NA,NA,NA,NA,NA
12,0.1537536382675171,0.48759588599205017,1.0,0.04764142632484436,0.013888888992369175,0.8550255298614502,0.35560956597328186,NA,NA,NA,NA,NA,NA,NA
13,0.15484295785427094,0.47072383761405945,1.0,0.04150330275297165,0.02777777798473835,0.8569141626358032,0.341957688331604,NA,NA,NA,NA,NA,NA,NA
14,0.15733931958675385,0.45560622215270996,1.0,0.03649922087788582,0.02777777798473835,0.8602482676506042,0.32987409830093384,NA,NA,NA,NA,NA,NA,NA
15,0.15997186303138733,0.4415515959262848,1.0,0.03198966756463051,0.02777777798473835,0.8630253672599792,0.318682998418808,NA,NA,NA,NA,NA,NA,NA
16,0.16333061456680298,0.42934727668762207,1.0,0.027602041140198708,0.02777777798473835,0.8647969365119934,0.30882370471954346,NA,NA,NA,NA,NA,NA,NA
17,0.1664397269487381,0.41843611001968384,1.0,0.02485223114490509,0.023148147389292717,0.8654988408088684,0.30036094784736633,NA,NA,NA,NA,NA,NA,NA
18,0.16973039507865906,0.40804240107536316,1.0,0.021547218784689903,0.013888888992369175,0.8664560914039612,0.29209384322166443,NA,NA,NA,NA,NA,NA,NA
19,0.1731572300195694,0.3990350365638733,1.0,0.020142687484622,0.013888888992369175,0.8680379390716553,0.28536728024482727,NA,NA,NA,NA,NA,NA,NA
20,0.1778322458267212,0.3898769021034241,1.0,0.017792344093322754,0.013888888992369175,0.8677246570587158,0.2782514989376068,NA,NA,NA,NA,NA,NA,NA
21,0.18155410885810852,0.3820072412490845,1.0,0.01697886362671852,0.013888888992369175,0.8673087358474731,0.2724987268447876,NA,NA,NA,NA,NA,NA,NA
22,0.1859114021062851,0.3744923174381256,1.0,0.015398360788822174,0.013888888992369175,0.8657584190368652,0.2667641043663025,NA,NA,NA,NA,NA,NA,NA
23,0.1900644451379776,0.3664648234844208,1.0,0.014007657766342163,0.013888888992369175,0.8647899627685547,0.2607276737689972,NA,NA,NA,NA,NA,NA,NA
24,0.1929466277360916,0.3594699501991272,1.0,0.013448821380734444,0.013888888992369175,0.8629959225654602,0.25566360354423523,NA,NA,NA,NA,NA,NA,NA
25,0.19809822738170624,0.3530401885509491,1.0,0.012270711362361908,0.013888888992369175,0.8603759407997131,0.25080934166908264,NA,NA,NA,NA,NA,NA,NA
26,0.2028186321258545,0.3464639484882355,1.0,0.011283962056040764,0.009259259328246117,0.8591865301132202,0.24590997397899628,NA,NA,NA,NA,NA,NA,NA
27,0.2056100219488144,0.340349406003952,1.0,0.011180488392710686,0.009259259328246117,0.8571183085441589,0.2415987104177475,NA,NA,NA,NA,NA,NA,NA
28,0.21098856627941132,0.33453628420829773,1.0,0.010219492018222809,0.009259259328246117,0.8547123670578003,0.2372412085533142,NA,NA,NA,NA,NA,NA,NA
29,0.2152777761220932,0.3290884494781494,1.0,0.009682949632406235,0.009259259328246117,0.8524531722068787,0.23326680064201355,NA,NA,NA,NA,NA,NA,NA
30,0.2201797366142273,0.3243435323238373,1.0,0.008814911358058453,0.009259259328246117,0.850861668586731,0.2296849489212036,NA,NA,NA,NA,NA,NA,NA
31,0.22476397454738617,0.31935441493988037,1.0,0.008516733534634113,0.013888888992369175,0.8490450978279114,0.22610311210155487,NA,NA,NA,NA,NA,NA,NA
32,0.2291666716337204,0.3148573637008667,1.0,0.008121956139802933,0.013888888992369175,0.8475093245506287,0.22283677756786346,NA,NA,NA,NA,NA,NA,NA
33,0.23307007551193237,0.31068113446235657,1.0,0.00804066564887762,0.013888888992369175,0.8458507657051086,0.21988898515701294,NA,NA,NA,NA,NA,NA,NA
34,0.23602032661437988,0.3063032031059265,1.0,0.007215556222945452,0.013888888992369175,0.8435336351394653,0.21657691895961761,NA,NA,NA,NA,NA,NA,NA
35,0.24080882966518402,0.3022233545780182,1.0,0.007232590578496456,0.013888888992369175,0.8418014049530029,0.21372611820697784,NA,NA,NA,NA,NA,NA,NA
36,0.24443989992141724,0.2985633611679077,1.0,0.006811424624174833,0.013888888992369175,0.8419630527496338,0.2110377550125122,NA,NA,NA,NA,NA,NA,NA
37,0.24782134592533112,0.2943487763404846,1.0,0.006573847029358149,0.013888888992369175,0.8392312526702881,0.2080163061618805,NA,NA,NA,NA,NA,NA,NA
38,0.25245097279548645,0.2913040816783905,1.0,0.006376352161169052,0.013888888992369175,0.8363195061683655,0.20582573115825653,NA,NA,NA,NA,NA,NA,NA
39,0.2559458911418915,0.2877083420753479,1.0,0.006111962720751762,0.013888888992369175,0.837421715259552,0.2032294124364853,NA,NA,NA,NA,NA,NA,NA
40,0.25742101669311523,0.284383624792099,1.0,0.005862548481673002,0.013888888992369175,0.8347050547599792,0.20082731544971466,NA,NA,NA,NA,NA,NA,NA
41,0.2612336575984955,0.28127315640449524,1.0,0.005674935411661863,0.013888888992369175,0.8342283964157104,0.19859372079372406,NA,NA,NA,NA,NA,NA,NA
42,0.26416122913360596,0.27799713611602783,1.0,0.00544334389269352,0.013888888992369175,0.8351375460624695,0.19623097777366638,NA,NA,NA,NA,NA,NA,NA
43,0.26801925897598267,0.27669745683670044,1.0,0.005600231233984232,0.013888888992369175,0.8316683173179626,0.19536830484867096,NA,NA,NA,NA,NA,NA,NA
44,0.27033406496047974,0.2737506031990051,1.0,0.005498805548995733,0.013888888992369175,0.8308643102645874,0.1932750642299652,NA,NA,NA,NA,NA,NA,NA
45,0.2725808024406433,0.27183735370635986,1.0,0.005209121387451887,0.013888888992369175,0.8298775553703308,0.19184887409210205,NA,NA,NA,NA,NA,NA,NA
46,0.2744417190551758,0.27016279101371765,1.0,0.005143787246197462,0.013888888992369175,0.8306968212127686,0.19065706431865692,NA,NA,NA,NA,NA,NA,NA
47,0.27759623527526855,0.2660927176475525,1.0,0.004870206583291292,0.013888888992369175,0.8298740386962891,0.1877259463071823,NA,NA,NA,NA,NA,NA,NA
48,0.2797294855117798,0.26327183842658997,1.0,0.004989947658032179,0.013888888992369175,0.8266327381134033,0.18578723073005676,NA,NA,NA,NA,NA,NA,NA
49,0.2825889587402344,0.26101037859916687,1.0,0.00458869431167841,0.018518518656492233,0.8268040418624878,0.18408386409282684,NA,NA,NA,NA,NA,NA,NA
