epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4161490797996521,1.180382251739502,0.0005,0.4642857015132904,2.858475923538208
1,0.43478259444236755,1.206468939781189,0.0005,0.4285714328289032,2.1334848403930664
2,0.5031055808067322,1.0775421857833862,0.0005,0.4285714328289032,1.7187927961349487
3,0.4409937858581543,0.9697954654693604,0.0005,0.4642857015132904,1.478979468345642
4,0.48447203636169434,1.0264310836791992,0.0005,0.4285714328289032,1.2777163982391357
5,0.5093167424201965,0.9732179045677185,0.0005,0.4285714328289032,1.1455552577972412
6,0.5093167424201965,1.0068411827087402,0.0005,0.4285714328289032,1.101232647895813
7,0.5527950525283813,0.9584534168243408,0.0005,0.4285714328289032,1.0825814008712769
8,0.6211180090904236,0.7964432239532471,0.0005,0.4285714328289032,1.0635100603103638
9,0.5714285969734192,0.8669676184654236,0.0005,0.3928571343421936,1.0100644826889038
10,0.48447203636169434,1.047939419746399,0.0005,0.3928571343421936,0.9701825380325317
11,0.5527950525283813,0.8762493133544922,0.0005,0.3928571343421936,0.943996787071228
12,0.5279502868652344,0.9291662573814392,0.0005,0.3928571343421936,0.9364431500434875
13,0.5279502868652344,0.9716293811798096,0.0005,0.4285714328289032,0.9319009780883789
14,0.5341615080833435,0.8714566230773926,0.0005,0.3928571343421936,0.9275531768798828
15,0.590062141418457,0.8141177892684937,0.0005,0.3928571343421936,0.9120146632194519
16,0.5714285969734192,0.8167636394500732,0.0005,0.3928571343421936,0.9010931253433228
17,0.5527950525283813,0.8486829400062561,0.0005,0.4285714328289032,0.8797206878662109
18,0.6645962595939636,0.7854704260826111,0.0005,0.4642857015132904,0.8561176657676697
19,0.6149068474769592,0.7831115126609802,0.0005,0.5,0.8421544432640076
20,0.5962733030319214,0.8255900740623474,0.0005,0.5357142686843872,0.8298539519309998
21,0.6459627151489258,0.6891617178916931,0.0005,0.5357142686843872,0.8216902613639832
22,0.5465838313102722,0.8144770264625549,0.0005,0.5714285969734192,0.822328507900238
23,0.6149068474769592,0.7846505641937256,0.0005,0.5714285969734192,0.8167702555656433
24,0.6397515535354614,0.755434513092041,0.0005,0.5,0.8136259317398071
25,0.6086956262588501,0.7478742599487305,0.0005,0.5,0.8053733110427856
26,0.5714285969734192,0.8089107871055603,0.0005,0.5357142686843872,0.8035096526145935
27,0.6024844646453857,0.8438963294029236,0.0005,0.5,0.8012868165969849
28,0.6024844646453857,0.8006764054298401,0.0005,0.5,0.8060914874076843
29,0.590062141418457,0.8580054044723511,0.0005,0.5357142686843872,0.8091756105422974
30,0.6273291707038879,0.7040532231330872,0.0005,0.5,0.8067269921302795
31,0.590062141418457,0.8134057521820068,0.0005,0.5,0.804072916507721
32,0.5962733030319214,0.7450782060623169,0.0005,0.5,0.7978857755661011
33,0.6211180090904236,0.8031705021858215,0.0005,0.5,0.7907934784889221
34,0.6086956262588501,0.7200457453727722,0.0005,0.5357142686843872,0.7855363488197327
35,0.5279502868652344,0.8550996780395508,0.0005,0.5714285969734192,0.7861524224281311
36,0.6708074808120728,0.6429623961448669,0.0005,0.6071428656578064,0.7840650677680969
37,0.6645962595939636,0.7017161250114441,0.0005,0.5714285969734192,0.7868770956993103
38,0.6024844646453857,0.7183140516281128,0.0005,0.5714285969734192,0.7864155173301697
39,0.695652186870575,0.6443307399749756,0.0005,0.5714285969734192,0.7864474058151245
40,0.6459627151489258,0.7424121499061584,0.0005,0.5714285969734192,0.7886377573013306
41,0.6335403919219971,0.7675708532333374,0.0005,0.6071428656578064,0.7873319387435913
42,0.590062141418457,0.8152668476104736,0.0005,0.6071428656578064,0.7971161603927612
43,0.6521739363670349,0.6594551801681519,0.0005,0.6071428656578064,0.8057610392570496
44,0.6645962595939636,0.6890355348587036,0.0005,0.5714285969734192,0.8062474131584167
45,0.6459627151489258,0.7867822647094727,0.0005,0.6071428656578064,0.7963579893112183
46,0.6832298040390015,0.6988123655319214,0.0005,0.6071428656578064,0.7969774603843689
47,0.5838509202003479,0.7646075487136841,0.00025,0.6071428656578064,0.7950495481491089
48,0.6335403919219971,0.7407339811325073,0.00025,0.6071428656578064,0.7898622751235962
49,0.7018633484840393,0.6350641846656799,0.00025,0.5714285969734192,0.7868289947509766
